Implementacao,TamanhoTabela,TamanhoDados,Seed,FatorCarga,TempoInsercao(ms),TempoBusca(ms),Colisoes,Top1,Top2,Top3,MenorGap,MaiorGap,MediaGap,Status
Encadeamento,1009,100000,123456,99.11,105,465,4954012,129,130,133,0,0,0.000,OK
Sondagem Quadrática,1009,100000,123456,99.11,0,0,6799,0,0,0,0,1,0.001,CAPACIDADE_MAXIMA
Hash Duplo,1009,100000,123456,99.11,55,25,5375,0,0,0,0,0,0.000,CAPACIDADE_MAXIMA
Encadeamento,1009,1000000,234567,991.08,38175,47506,495557495,1077,1101,1112,0,0,0.000,OK
Sondagem Quadrática,1009,1000000,234567,991.08,0,0,5791,0,0,0,0,1,0.001,CAPACIDADE_MAXIMA
Hash Duplo,1009,1000000,234567,991.08,15,9,4818,0,0,0,0,0,0.000,CAPACIDADE_MAXIMA
Encadeamento,10007,100000,123456,9.99,13,19,500311,23,24,29,0,0,0.000,OK
Sondagem Quadrática,10007,100000,123456,9.99,19,16,594238,0,0,0,0,1,0.000,CAPACIDADE_MAXIMA
Hash Duplo,10007,100000,123456,9.99,306,182,87896,0,0,0,0,0,0.000,CAPACIDADE_MAXIMA
Encadeamento,10007,1000000,234567,99.93,3876,4668,49973171,134,138,141,0,0,0.000,OK
Sondagem Quadrática,10007,1000000,234567,99.93,1,2,569360,0,0,0,0,0,0.000,CAPACIDADE_MAXIMA
Hash Duplo,10007,1000000,234567,99.93,221,222,78296,0,0,0,0,0,0.000,CAPACIDADE_MAXIMA
